"","X","i","j","pocp","population"
"3105121",90,"19AcAm43.3.1","19AcHe316.1.1",0.995736306985897,"I3"
"3108533",90,"19AcAm43.3.1","19AcPa177.2.2",0.995408330600197,"I3"
"4304271",90,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"I3"
"4305727",90,"19AcHe316.1.1","09LoS36_3",0.996720236142998,"I3"
"4315021",90,"19AcHe316.1.1","19AcAm43.3.1",0.995736306985897,"I3"
"4322927",90,"19AcHe316.1.1","19AcPa177.2.2",0.997048212528698,"I3"
"5201830",90,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"5203324",90,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"5212633",90,"19AcPa177.2.2","19AcAm43.3.1",0.995408330600197,"I3"
"5217227",90,"19AcPa177.2.2","19AcHe316.1.1",0.997048212528698,"I3"
"249468",90,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"252959",90,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"2539122",90,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"260958",90,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"3116268",90,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"3130561",90,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"3131572",90,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"3138562",90,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"4040255",90,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
"4051161",90,"19AcGLB198.2.2","19AcARN268.1.1",0.997376188914398,"R3"
"4055562",90,"19AcGLB198.2.2","19AcHe316.1.1",0.997048212528698,"R3"
"4062561",90,"19AcGLB198.2.2","19AcS312.2.1",0.997048212528698,"R3"
"43042122",90,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"4315172",90,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"4318662",90,"19AcHe316.1.1","19AcGLB198.2.2",0.997048212528698,"R3"
"4326564",90,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"6152257",90,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"6163162",90,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"6166661",90,"19AcS312.2.1","19AcGLB198.2.2",0.997048212528698,"R3"
"6167664",90,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"5370",90,"09LoS36_4","19AcGLB197.1.1",0.863152745505687,"metapop"
"5426",90,"09LoS36_4","19AcS11.2.1",0.742125058768218,"metapop"
"5429",90,"09LoS36_4","19AcD298.3.1",0.892577874631458,"metapop"
"5516",90,"09LoS36_4","11LoS20_1",0.747137291937197,"metapop"
"7820",90,"11LoS20_1","19AcS11.2.1",0.892570170610897,"metapop"
"7844",90,"11LoS20_1","09LoS36_4",0.747137291937197,"metapop"
"7846",90,"11LoS20_1","19AcD298.3.1",0.746598233468608,"metapop"
"7904",90,"11LoS20_1","19AcGLB197.1.1",0.745602010509481,"metapop"
"31238",90,"19AcD298.3.1","09LoS36_4",0.892577874631458,"metapop"
"3127619",90,"19AcD298.3.1","19AcGLB197.1.1",0.869742701632855,"metapop"
"31362",90,"19AcD298.3.1","11LoS20_1",0.746598233468608,"metapop"
"31422",90,"19AcD298.3.1","19AcS11.2.1",0.742602495543672,"metapop"
"33675",90,"19AcGLB197.1.1","11LoS20_1",0.745602010509481,"metapop"
"337191",90,"19AcGLB197.1.1","19AcD298.3.1",0.869742701632855,"metapop"
"33827",90,"19AcGLB197.1.1","19AcS11.2.1",0.743032647025367,"metapop"
"33876",90,"19AcGLB197.1.1","09LoS36_4",0.863152745505687,"metapop"
"47464",90,"19AcS11.2.1","11LoS20_1",0.892570170610897,"metapop"
"47472",90,"19AcS11.2.1","19AcGLB197.1.1",0.743032647025367,"metapop"
"47574",90,"19AcS11.2.1","09LoS36_4",0.742125058768218,"metapop"
"47580",90,"19AcS11.2.1","19AcD298.3.1",0.742602495543672,"metapop"
"20115",90,"19AcAm209.1.1","19AcS11.2.1",0.861624649859944,"species"
"20172",90,"19AcAm209.1.1","19AcARN282.2.1",0.860356865787432,"species"
"20264",90,"19AcAm209.1.1","19AcARN268.3.1",0.858483189992181,"species"
"202781",90,"19AcAm209.1.1","19AcPa174A.1.2",0.839412709337004,"species"
"26418",90,"19AcARN268.3.1","19AcS11.2.1",0.869289617486339,"species"
"26434",90,"19AcARN268.3.1","19AcPa174A.1.2",0.815162697081516,"species"
"264581",90,"19AcARN268.3.1","19AcARN282.2.1",0.909818339100346,"species"
"26503",90,"19AcARN268.3.1","19AcAm209.1.1",0.858483189992181,"species"
"26900",90,"19AcARN282.2.1","19AcPa174A.1.2",0.813935426606014,"species"
"269091",90,"19AcARN282.2.1","19AcARN268.3.1",0.909818339100346,"species"
"27059",90,"19AcARN282.2.1","19AcS11.2.1",0.871691973969631,"species"
"27086",90,"19AcARN282.2.1","19AcAm209.1.1",0.860356865787432,"species"
"440461",90,"19AcPa174A.1.2","19AcAm209.1.1",0.839412709337004,"species"
"44085",90,"19AcPa174A.1.2","19AcARN282.2.1",0.813935426606014,"species"
"44160",90,"19AcPa174A.1.2","19AcARN268.3.1",0.815162697081516,"species"
"44185",90,"19AcPa174A.1.2","19AcS11.2.1",0.813236118900729,"species"
"47467",90,"19AcS11.2.1","19AcARN282.2.1",0.871691973969631,"species"
"47489",90,"19AcS11.2.1","19AcARN268.3.1",0.869289617486339,"species"
"47520",90,"19AcS11.2.1","19AcAm209.1.1",0.861624649859944,"species"
"47541",90,"19AcS11.2.1","19AcPa174A.1.2",0.813236118900729,"species"
"8216",91,"11LoS13_1","11LoS14_2",0.997048212528698,"all1"
"8277",91,"11LoS13_1","19AcAm209.1.1",0.997704165300098,"all1"
"83371",91,"11LoS13_1","19AcGLB198.2.2",0.997048212528698,"all1"
"84042",91,"11LoS13_1","19AcS183.2.1",0.998360118071499,"all1"
"8480",91,"11LoS14_2","11LoS13_1",0.997048212528698,"all1"
"85412",91,"11LoS14_2","19AcAm209.1.1",0.997376188914398,"all1"
"8601",91,"11LoS14_2","19AcGLB198.2.2",0.996720236142998,"all1"
"8668",91,"11LoS14_2","19AcS183.2.1",0.998032141685799,"all1"
"24584",91,"19AcAm209.1.1","11LoS13_1",0.997704165300098,"all1"
"245852",91,"19AcAm209.1.1","11LoS14_2",0.997376188914398,"all1"
"247051",91,"19AcAm209.1.1","19AcGLB198.2.2",0.997376188914398,"all1"
"247721",91,"19AcAm209.1.1","19AcS183.2.1",0.998688094457199,"all1"
"404241",91,"19AcGLB198.2.2","11LoS13_1",0.997048212528698,"all1"
"40425",91,"19AcGLB198.2.2","11LoS14_2",0.996720236142998,"all1"
"404861",91,"19AcGLB198.2.2","19AcAm209.1.1",0.997376188914398,"all1"
"406122",91,"19AcGLB198.2.2","19AcS183.2.1",0.998032141685799,"all1"
"581122",91,"19AcS183.2.1","11LoS13_1",0.998360118071499,"all1"
"58113",91,"19AcS183.2.1","11LoS14_2",0.998032141685799,"all1"
"581741",91,"19AcS183.2.1","19AcAm209.1.1",0.998688094457199,"all1"
"582342",91,"19AcS183.2.1","19AcGLB198.2.2",0.998032141685799,"all1"
"239530",91,"05LoS16R1_16","05LoS3_1",0.995736306985897,"I3"
"240034",91,"05LoS16R1_16","09LoS36_3",0.995736306985897,"I3"
"249331",91,"05LoS16R1_16","19AcAm43.3.1",0.994752377828796,"I3"
"257334",91,"05LoS16R1_16","19AcPa177.2.2",0.996064283371597,"I3"
"502632",91,"05LoS3_1","05LoS16R1_16",0.995736306985897,"I3"
"504027",91,"05LoS3_1","09LoS36_3",0.996064283371597,"I3"
"513329",91,"05LoS3_1","19AcAm43.3.1",0.995080354214497,"I3"
"521340",91,"05LoS3_1","19AcPa177.2.2",0.996392259757298,"I3"
"634631",91,"09LoS36_3","05LoS16R1_16",0.995736306985897,"I3"
"635627",91,"09LoS36_3","05LoS3_1",0.996064283371597,"I3"
"645329",91,"09LoS36_3","19AcAm43.3.1",0.995080354214497,"I3"
"653325",91,"09LoS36_3","19AcPa177.2.2",0.996392259757298,"I3"
"3089831",91,"19AcAm43.3.1","05LoS16R1_16",0.994752377828796,"I3"
"3090829",91,"19AcAm43.3.1","05LoS3_1",0.995080354214497,"I3"
"3091329",91,"19AcAm43.3.1","09LoS36_3",0.995080354214497,"I3"
"3108534",91,"19AcAm43.3.1","19AcPa177.2.2",0.995408330600197,"I3"
"5201831",91,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"5202829",91,"19AcPa177.2.2","05LoS3_1",0.996392259757298,"I3"
"5203325",91,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"5212634",91,"19AcPa177.2.2","19AcAm43.3.1",0.995408330600197,"I3"
"249469",91,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"252059",91,"05LoS16R1_16","19AcGLB102.2.2",0.997376188914398,"R3"
"253972",91,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"260959",91,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"3116269",91,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"3129660",91,"19AcARN268.1.1","19AcGLB102.2.2",0.998032141685799,"R3"
"3131573",91,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"3138563",91,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"3802655",91,"19AcGLB102.2.2","05LoS16R1_16",0.997376188914398,"R3"
"3813560",91,"19AcGLB102.2.2","19AcARN268.1.1",0.998032141685799,"R3"
"3817961",91,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"R3"
"3824959",91,"19AcGLB102.2.2","19AcS312.2.1",0.997048212528698,"R3"
"4304272",91,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"4315173",91,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"4317761",91,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"R3"
"4326565",91,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"6152258",91,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"6163163",91,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"6165759",91,"19AcS312.2.1","19AcGLB102.2.2",0.997048212528698,"R3"
"6167665",91,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"7058",91,"11LoS15_1","19AcS295.3.1",0.762355060227401,"metapop"
"71441",91,"11LoS15_1","19AcARN300.2.1",0.885967831392124,"metapop"
"7153",91,"11LoS15_1","11LoS18_3",0.87012987012987,"metapop"
"7168",91,"11LoS15_1","19AcGLB381sp.3.1",0.814201577953106,"metapop"
"7549",91,"11LoS18_3","19AcGLB381sp.3.1",0.801167015303314,"metapop"
"7572",91,"11LoS18_3","11LoS15_1",0.87012987012987,"metapop"
"7590",91,"11LoS18_3","19AcARN300.2.1",0.887240356083086,"metapop"
"7657",91,"11LoS18_3","19AcS295.3.1",0.753652280584365,"metapop"
"27610",91,"19AcARN300.2.1","11LoS18_3",0.887240356083086,"metapop"
"27635",91,"19AcARN300.2.1","19AcS295.3.1",0.76904598490048,"metapop"
"277151",91,"19AcARN300.2.1","11LoS15_1",0.885967831392124,"metapop"
"27751",91,"19AcARN300.2.1","19AcGLB381sp.3.1",0.819823888010838,"metapop"
"35392",91,"19AcGLB381sp.3.1","19AcS295.3.1",0.772404308961724,"metapop"
"35466",91,"19AcGLB381sp.3.1","19AcARN300.2.1",0.819823888010838,"metapop"
"35483",91,"19AcGLB381sp.3.1","11LoS18_3",0.801167015303314,"metapop"
"35507",91,"19AcGLB381sp.3.1","11LoS15_1",0.814201577953106,"metapop"
"51808",91,"19AcS295.3.1","19AcARN300.2.1",0.76904598490048,"metapop"
"51886",91,"19AcS295.3.1","19AcGLB381sp.3.1",0.772404308961724,"metapop"
"51918",91,"19AcS295.3.1","11LoS18_3",0.753652280584365,"metapop"
"51958",91,"19AcS295.3.1","11LoS15_1",0.762355060227401,"metapop"
"1232",91,"05LoS14_6","19AcPa174.2.1",0.845283018867925,"species"
"1386",91,"05LoS14_6","09LoS43_2",0.847434743474347,"species"
"1444",91,"05LoS14_6","19AcAm208.2.1",0.822944297082228,"species"
"1451",91,"05LoS14_6","19AcS142.3.1",0.850108286789012,"species"
"6133",91,"09LoS43_2","19AcAm208.2.1",0.867390836739084,"species"
"6151",91,"09LoS43_2","19AcPa174.2.1",0.800215982721382,"species"
"6165",91,"09LoS43_2","19AcS142.3.1",0.885958107059736,"species"
"6265",91,"09LoS43_2","05LoS14_6",0.847434743474347,"species"
"19635",91,"19AcAm208.2.1","05LoS14_6",0.822944297082228,"species"
"19725",91,"19AcAm208.2.1","19AcS142.3.1",0.876075356637265,"species"
"19743",91,"19AcAm208.2.1","19AcPa174.2.1",0.820382165605096,"species"
"19767",91,"19AcAm208.2.1","09LoS43_2",0.867390836739084,"species"
"43613",91,"19AcPa174.2.1","19AcS142.3.1",0.811153635866594,"species"
"43656",91,"19AcPa174.2.1","09LoS43_2",0.800215982721382,"species"
"43706",91,"19AcPa174.2.1","05LoS14_6",0.845283018867925,"species"
"43727",91,"19AcPa174.2.1","19AcAm208.2.1",0.820382165605096,"species"
"48643",91,"19AcS142.3.1","19AcPa174.2.1",0.811153635866594,"species"
"48660",91,"19AcS142.3.1","05LoS14_6",0.850108286789012,"species"
"48726",91,"19AcS142.3.1","09LoS43_2",0.885958107059736,"species"
"48775",91,"19AcS142.3.1","19AcAm208.2.1",0.876075356637265,"species"
"2415",92,"05LoS16R1_16","11LoS21_3",0.995408330600197,"all1"
"2453",92,"05LoS16R1_16","19AcAm128.2.1",0.996064283371597,"all1"
"24551",92,"05LoS16R1_16","19AcAm129.3.1",0.996720236142998,"all1"
"2486",92,"05LoS16R1_16","19AcAm40.3.1",0.996064283371597,"all1"
"10306",92,"11LoS21_3","05LoS16R1_16",0.995408330600197,"all1"
"10373",92,"11LoS21_3","19AcAm128.2.1",0.996064283371597,"all1"
"103751",92,"11LoS21_3","19AcAm129.3.1",0.996720236142998,"all1"
"10406",92,"11LoS21_3","19AcAm40.3.1",0.996064283371597,"all1"
"20338",92,"19AcAm128.2.1","05LoS16R1_16",0.996064283371597,"all1"
"20368",92,"19AcAm128.2.1","11LoS21_3",0.996064283371597,"all1"
"20407",92,"19AcAm128.2.1","19AcAm129.3.1",0.999344047228599,"all1"
"204382",92,"19AcAm128.2.1","19AcAm40.3.1",0.996720236142998,"all1"
"208662",92,"19AcAm129.3.1","05LoS16R1_16",0.996720236142998,"all1"
"208961",92,"19AcAm129.3.1","11LoS21_3",0.996720236142998,"all1"
"20934",92,"19AcAm129.3.1","19AcAm128.2.1",0.999344047228599,"all1"
"209661",92,"19AcAm129.3.1","19AcAm40.3.1",0.997376188914398,"all1"
"29050",92,"19AcAm40.3.1","05LoS16R1_16",0.996064283371597,"all1"
"29080",92,"19AcAm40.3.1","11LoS21_3",0.996064283371597,"all1"
"291182",92,"19AcAm40.3.1","19AcAm128.2.1",0.996720236142998,"all1"
"291201",92,"19AcAm40.3.1","19AcAm129.3.1",0.997376188914398,"all1"
"239531",92,"05LoS16R1_16","05LoS3_1",0.995736306985897,"I3"
"249470",92,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"I3"
"250023",92,"05LoS16R1_16","19AcARN300.2.1",0.996720236142998,"I3"
"257335",92,"05LoS16R1_16","19AcPa177.2.2",0.996064283371597,"I3"
"502633",92,"05LoS3_1","05LoS16R1_16",0.995736306985897,"I3"
"513421",92,"05LoS3_1","19AcARN268.1.1",0.997048212528698,"I3"
"514020",92,"05LoS3_1","19AcARN300.2.1",0.997704165300098,"I3"
"521341",92,"05LoS3_1","19AcPa177.2.2",0.996392259757298,"I3"
"3116270",92,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"I3"
"3117221",92,"19AcARN268.1.1","05LoS3_1",0.997048212528698,"I3"
"3127620",92,"19AcARN268.1.1","19AcARN300.2.1",0.998032141685799,"I3"
"3134920",92,"19AcARN268.1.1","19AcPa177.2.2",0.997376188914398,"I3"
"3274623",92,"19AcARN300.2.1","05LoS16R1_16",0.996720236142998,"I3"
"3275620",92,"19AcARN300.2.1","05LoS3_1",0.997704165300098,"I3"
"3285518",92,"19AcARN300.2.1","19AcARN268.1.1",0.998032141685799,"I3"
"3293321",92,"19AcARN300.2.1","19AcPa177.2.2",0.997376188914398,"I3"
"5201832",92,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"5202830",92,"19AcPa177.2.2","05LoS3_1",0.996392259757298,"I3"
"5212720",92,"19AcPa177.2.2","19AcARN268.1.1",0.997376188914398,"I3"
"5213321",92,"19AcPa177.2.2","19AcARN300.2.1",0.997376188914398,"I3"
"2494122",92,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"252060",92,"05LoS16R1_16","19AcGLB102.2.2",0.997376188914398,"R3"
"253973",92,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"260960",92,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"31162122",92,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"3129661",92,"19AcARN268.1.1","19AcGLB102.2.2",0.998032141685799,"R3"
"3131574",92,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"3138564",92,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"3802656",92,"19AcGLB102.2.2","05LoS16R1_16",0.997376188914398,"R3"
"3813561",92,"19AcGLB102.2.2","19AcARN268.1.1",0.998032141685799,"R3"
"3817962",92,"19AcGLB102.2.2","19AcHe316.1.1",0.997704165300098,"R3"
"3824960",92,"19AcGLB102.2.2","19AcS312.2.1",0.997048212528698,"R3"
"4304273",92,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"4315174",92,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"4317762",92,"19AcHe316.1.1","19AcGLB102.2.2",0.997704165300098,"R3"
"4326566",92,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"6152259",92,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"6163164",92,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"6165760",92,"19AcS312.2.1","19AcGLB102.2.2",0.997048212528698,"R3"
"6167666",92,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"1954",92,"05LoS16R10_36","19AcAm43.1.1",0.804460703327826,"metapop"
"1991",92,"05LoS16R10_36","19AcAm205.2.1",0.799374091874371,"metapop"
"2148",92,"05LoS16R10_36","13LoS16_4",0.769530773918342,"metapop"
"2166",92,"05LoS16R10_36","19AcAm128.2.1",0.820269478617458,"metapop"
"13577",92,"13LoS16_4","19AcAm43.1.1",0.76617033948779,"metapop"
"13599",92,"13LoS16_4","19AcAm128.2.1",0.759460737937559,"metapop"
"13684",92,"13LoS16_4","19AcAm205.2.1",0.744587280108254,"metapop"
"13735",92,"13LoS16_4","05LoS16R10_36",0.769530773918342,"metapop"
"16325",92,"19AcAm128.2.1","19AcAm205.2.1",0.873233311589476,"metapop"
"16347",92,"19AcAm128.2.1","05LoS16R10_36",0.820269478617458,"metapop"
"16358",92,"19AcAm128.2.1","19AcAm43.1.1",0.816504297994269,"metapop"
"16369",92,"19AcAm128.2.1","13LoS16_4",0.759460737937559,"metapop"
"18918",92,"19AcAm205.2.1","13LoS16_4",0.744587280108254,"metapop"
"18959",92,"19AcAm205.2.1","19AcAm43.1.1",0.830360074422677,"metapop"
"19032",92,"19AcAm205.2.1","05LoS16R10_36",0.799374091874371,"metapop"
"19063",92,"19AcAm205.2.1","19AcAm128.2.1",0.873233311589476,"metapop"
"25734",92,"19AcAm43.1.1","19AcAm128.2.1",0.816504297994269,"metapop"
"25780",92,"19AcAm43.1.1","19AcAm205.2.1",0.830360074422677,"metapop"
"25831",92,"19AcAm43.1.1","05LoS16R10_36",0.804460703327826,"metapop"
"25871",92,"19AcAm43.1.1","13LoS16_4",0.76617033948779,"metapop"
"2741",92,"05LoS21R6_43","19AcAm208.3.1",0.853466444814199,"species"
"2764",92,"05LoS21R6_43","19AcPa285.2.1",0.856203220684963,"species"
"2815",92,"05LoS21R6_43","05LoS23_10",0.891779279279279,"species"
"2870",92,"05LoS21R6_43","19AcD266.3.1",0.897694689758,"species"
"3206",92,"05LoS23_10","05LoS21R6_43",0.891779279279279,"species"
"3228",92,"05LoS23_10","19AcAm208.3.1",0.865584778959149,"species"
"33651",92,"05LoS23_10","19AcD266.3.1",0.89512675078134,"species"
"3373",92,"05LoS23_10","19AcPa285.2.1",0.862554360265507,"species"
"19919",92,"19AcAm208.3.1","05LoS23_10",0.865584778959149,"species"
"19946",92,"19AcAm208.3.1","19AcD266.3.1",0.865511739229542,"species"
"19995",92,"19AcAm208.3.1","19AcPa285.2.1",0.88053645892032,"species"
"20056",92,"19AcAm208.3.1","05LoS21R6_43",0.853466444814199,"species"
"29052",92,"19AcD266.3.1","19AcAm208.3.1",0.865511739229542,"species"
"291571",92,"19AcD266.3.1","05LoS23_10",0.89512675078134,"species"
"29176",92,"19AcD266.3.1","05LoS21R6_43",0.897694689758,"species"
"29214",92,"19AcD266.3.1","19AcPa285.2.1",0.868019120904745,"species"
"47087",92,"19AcPa285.2.1","19AcD266.3.1",0.868019120904745,"species"
"47124",92,"19AcPa285.2.1","05LoS23_10",0.862554360265507,"species"
"47172",92,"19AcPa285.2.1","05LoS21R6_43",0.856203220684963,"species"
"47181",92,"19AcPa285.2.1","19AcAm208.3.1",0.88053645892032,"species"
"5887",93,"09LoS35_1","19AcAm129.3.1",0.998360118071499,"all1"
"59301",93,"09LoS35_1","19AcARN282.3.1",0.998360118071499,"all1"
"5961",93,"09LoS35_1","19AcGLB198.2.2",0.997704165300098,"all1"
"6016",93,"09LoS35_1","19AcS121.1.1",0.998360118071499,"all1"
"20879",93,"19AcAm129.3.1","09LoS35_1",0.998360118071499,"all1"
"20978",93,"19AcAm129.3.1","19AcARN282.3.1",0.998032141685799,"all1"
"210093",93,"19AcAm129.3.1","19AcGLB198.2.2",0.997376188914398,"all1"
"210641",93,"19AcAm129.3.1","19AcS121.1.1",0.998032141685799,"all1"
"322311",93,"19AcARN282.3.1","09LoS35_1",0.998360118071499,"all1"
"32288",93,"19AcARN282.3.1","19AcAm129.3.1",0.998032141685799,"all1"
"32361",93,"19AcARN282.3.1","19AcGLB198.2.2",0.997376188914398,"all1"
"32416",93,"19AcARN282.3.1","19AcS121.1.1",0.998688094457199,"all1"
"40415",93,"19AcGLB198.2.2","09LoS35_1",0.997704165300098,"all1"
"404723",93,"19AcGLB198.2.2","19AcAm129.3.1",0.997376188914398,"all1"
"40515",93,"19AcGLB198.2.2","19AcARN282.3.1",0.997376188914398,"all1"
"406002",93,"19AcGLB198.2.2","19AcS121.1.1",0.997376188914398,"all1"
"54935",93,"19AcS121.1.1","09LoS35_1",0.998360118071499,"all1"
"549921",93,"19AcS121.1.1","19AcAm129.3.1",0.998032141685799,"all1"
"55035",93,"19AcS121.1.1","19AcARN282.3.1",0.998688094457199,"all1"
"550662",93,"19AcS121.1.1","19AcGLB198.2.2",0.997376188914398,"all1"
"239532",93,"05LoS16R1_16","05LoS3_1",0.995736306985897,"I3"
"240035",93,"05LoS16R1_16","09LoS36_3",0.995736306985897,"I3"
"257336",93,"05LoS16R1_16","19AcPa177.2.2",0.996064283371597,"I3"
"263630",93,"05LoS16R1_16","CW9",0.997704165300098,"I3"
"502634",93,"05LoS3_1","05LoS16R1_16",0.995736306985897,"I3"
"504028",93,"05LoS3_1","09LoS36_3",0.996064283371597,"I3"
"521342",93,"05LoS3_1","19AcPa177.2.2",0.996392259757298,"I3"
"527629",93,"05LoS3_1","CW9",0.998032141685799,"I3"
"634632",93,"09LoS36_3","05LoS16R1_16",0.995736306985897,"I3"
"635628",93,"09LoS36_3","05LoS3_1",0.996064283371597,"I3"
"653326",93,"09LoS36_3","19AcPa177.2.2",0.996392259757298,"I3"
"659631",93,"09LoS36_3","CW9",0.998032141685799,"I3"
"5201833",93,"19AcPa177.2.2","05LoS16R1_16",0.996064283371597,"I3"
"5202831",93,"19AcPa177.2.2","05LoS3_1",0.996392259757298,"I3"
"5203326",93,"19AcPa177.2.2","09LoS36_3",0.996392259757298,"I3"
"5226831",93,"19AcPa177.2.2","CW9",0.998360118071499,"I3"
"6865028",93,"CW9","05LoS16R1_16",0.997704165300098,"I3"
"6866027",93,"CW9","05LoS3_1",0.998032141685799,"I3"
"6866531",93,"CW9","09LoS36_3",0.998032141685799,"I3"
"6883831",93,"CW9","19AcPa177.2.2",0.998360118071499,"I3"
"249471",93,"05LoS16R1_16","19AcARN268.1.1",0.996720236142998,"R3"
"252960",93,"05LoS16R1_16","19AcGLB198.2.2",0.996064283371597,"R3"
"253974",93,"05LoS16R1_16","19AcHe316.1.1",0.996392259757298,"R3"
"260961",93,"05LoS16R1_16","19AcS312.2.1",0.995736306985897,"R3"
"3116271",93,"19AcARN268.1.1","05LoS16R1_16",0.996720236142998,"R3"
"3130562",93,"19AcARN268.1.1","19AcGLB198.2.2",0.997376188914398,"R3"
"3131575",93,"19AcARN268.1.1","19AcHe316.1.1",0.997704165300098,"R3"
"3138565",93,"19AcARN268.1.1","19AcS312.2.1",0.997048212528698,"R3"
"4040256",93,"19AcGLB198.2.2","05LoS16R1_16",0.996064283371597,"R3"
"4051162",93,"19AcGLB198.2.2","19AcARN268.1.1",0.997376188914398,"R3"
"4055563",93,"19AcGLB198.2.2","19AcHe316.1.1",0.997048212528698,"R3"
"4062562",93,"19AcGLB198.2.2","19AcS312.2.1",0.997048212528698,"R3"
"4304274",93,"19AcHe316.1.1","05LoS16R1_16",0.996392259757298,"R3"
"4315175",93,"19AcHe316.1.1","19AcARN268.1.1",0.997704165300098,"R3"
"4318663",93,"19AcHe316.1.1","19AcGLB198.2.2",0.997048212528698,"R3"
"4326567",93,"19AcHe316.1.1","19AcS312.2.1",0.996720236142998,"R3"
"6152260",93,"19AcS312.2.1","05LoS16R1_16",0.995736306985897,"R3"
"6163165",93,"19AcS312.2.1","19AcARN268.1.1",0.997048212528698,"R3"
"6166662",93,"19AcS312.2.1","19AcGLB198.2.2",0.997048212528698,"R3"
"6167667",93,"19AcS312.2.1","19AcHe316.1.1",0.996720236142998,"R3"
"6551",93,"11LoS14_2","19AcPa173.1.1",0.745176674615218,"metapop"
"6554",93,"11LoS14_2","19AcS309.1.1",0.880579010856454,"metapop"
"6649",93,"11LoS14_2","11LoS7_1",0.837026206276009,"metapop"
"6762",93,"11LoS14_2","19AcS181.3.1",0.845509489979854,"metapop"
"11882",93,"11LoS7_1","19AcPa173.1.1",0.752378869080171,"metapop"
"11924",93,"11LoS7_1","11LoS14_2",0.837026206276009,"metapop"
"11968",93,"11LoS7_1","19AcS309.1.1",0.827578574590527,"metapop"
"12028",93,"11LoS7_1","19AcS181.3.1",0.838468121523321,"metapop"
"42892",93,"19AcPa173.1.1","11LoS7_1",0.752378869080171,"metapop"
"42899",93,"19AcPa173.1.1","11LoS14_2",0.745176674615218,"metapop"
"43025",93,"19AcPa173.1.1","19AcS181.3.1",0.755137870494681,"metapop"
"43048",93,"19AcPa173.1.1","19AcS309.1.1",0.747198804823391,"metapop"
"49971",93,"19AcS181.3.1","19AcS309.1.1",0.847848788638262,"metapop"
"50003",93,"19AcS181.3.1","19AcPa173.1.1",0.755137870494681,"metapop"
