"","isolate1","isolate2","ani","haplotype","sample"
"171201","19AcARN268.1.1","19AcAm43.3.1",99.6106,"K1_R1_I3_G1",58
"171621","19AcARN268.1.1","05LoS16R1_16",99.5173,"K1_R1_I3_G1",58
"17166","19AcARN268.1.1","19AcPa177.2.2",99.5137,"K1_R1_I3_G1",58
"17199","19AcARN268.1.1","19AcHe316.1.1",99.4306,"K1_R1_I3_G1",58
"27229","19AcAm43.3.1","05LoS16R1_16",99.6398,"K1_R1_I3_G1",58
"272311","19AcAm43.3.1","19AcARN268.1.1",99.6322,"K1_R1_I3_G1",58
"27254","19AcAm43.3.1","19AcHe316.1.1",99.5173,"K1_R1_I3_G1",58
"27261","19AcAm43.3.1","19AcPa177.2.2",99.469,"K1_R1_I3_G1",58
"34432","19AcHe316.1.1","19AcAm43.3.1",99.5148,"K1_R1_I3_G1",58
"34488","19AcHe316.1.1","19AcARN268.1.1",99.4288,"K1_R1_I3_G1",58
"34513","19AcHe316.1.1","05LoS16R1_16",99.3215,"K1_R1_I3_G1",58
"34521","19AcHe316.1.1","19AcPa177.2.2",99.269,"K1_R1_I3_G1",58
"40971","19AcPa177.2.2","19AcARN268.1.1",99.5353,"K1_R1_I3_G1",58
"40973","19AcPa177.2.2","05LoS16R1_16",99.5295,"K1_R1_I3_G1",58
"41010","19AcPa177.2.2","19AcAm43.3.1",99.4573,"K1_R1_I3_G1",58
"41072","19AcPa177.2.2","19AcHe316.1.1",99.2778,"K1_R1_I3_G1",58
"21206","19AcAm184.3.1","19AcPa177.2.2",99.806,"K1_R1_I1_G1",59
"21245","19AcAm184.3.1","19AcAm40.3.1",99.6318,"K1_R1_I1_G1",59
"21289","19AcAm184.3.1","19AcS183.3.1",99.5614,"K1_R1_I1_G1",59
"21304","19AcAm184.3.1","19AcGLB232.1.1",99.5279,"K1_R1_I1_G1",59
"25222","19AcAm40.3.1","19AcGLB232.1.1",99.6639,"K1_R1_I1_G1",59
"25243","19AcAm40.3.1","19AcS183.3.1",99.6392,"K1_R1_I1_G1",59
"25246","19AcAm40.3.1","19AcAm184.3.1",99.6306,"K1_R1_I1_G1",59
"25264","19AcAm40.3.1","19AcPa177.2.2",99.527,"K1_R1_I1_G1",59
"323961","19AcGLB232.1.1","19AcS183.3.1",99.8674,"K1_R1_I1_G1",59
"32441","19AcGLB232.1.1","19AcAm40.3.1",99.6579,"K1_R1_I1_G1",59
"32483","19AcGLB232.1.1","19AcPa177.2.2",99.5723,"K1_R1_I1_G1",59
"32492","19AcGLB232.1.1","19AcAm184.3.1",99.5248,"K1_R1_I1_G1",59
"40546","19AcPa177.2.2","19AcAm184.3.1",99.8058,"K1_R1_I1_G1",59
"40560","19AcPa177.2.2","19AcS183.3.1",99.6219,"K1_R1_I1_G1",59
"40584","19AcPa177.2.2","19AcGLB232.1.1",99.5644,"K1_R1_I1_G1",59
"40609","19AcPa177.2.2","19AcAm40.3.1",99.5275,"K1_R1_I1_G1",59
"45679","19AcS183.3.1","19AcGLB232.1.1",99.8685,"K1_R1_I1_G1",59
"45735","19AcS183.3.1","19AcAm40.3.1",99.6398,"K1_R1_I1_G1",59
"45743","19AcS183.3.1","19AcPa177.2.2",99.6269,"K1_R1_I1_G1",59
"45771","19AcS183.3.1","19AcAm184.3.1",99.5625,"K1_R1_I1_G1",59
"951","05LoS16R1_16","19AcS312.2.1",99.7062,"K1_R3_I1_G1",59
"974","05LoS16R1_16","19AcGLB102.2.2",99.6702,"K1_R3_I1_G1",59
"1013","05LoS16R1_16","19AcARN268.1.1",99.5857,"K1_R3_I1_G1",59
"1020","05LoS16R1_16","19AcGLB198.2.2",99.5561,"K1_R3_I1_G1",59
"17082","19AcARN268.1.1","05LoS16R1_16",99.5856,"K1_R3_I1_G1",59
"170951","19AcARN268.1.1","19AcS312.2.1",99.5546,"K1_R3_I1_G1",59
"17103","19AcARN268.1.1","19AcGLB198.2.2",99.5307,"K1_R3_I1_G1",59
"17105","19AcARN268.1.1","19AcGLB102.2.2",99.5252,"K1_R3_I1_G1",59
"30099","19AcGLB102.2.2","19AcS312.2.1",99.7429,"K1_R3_I1_G1",59
"30125","19AcGLB102.2.2","05LoS16R1_16",99.6708,"K1_R3_I1_G1",59
"301521","19AcGLB102.2.2","19AcGLB198.2.2",99.5978,"K1_R3_I1_G1",59
"30163","19AcGLB102.2.2","19AcARN268.1.1",99.5275,"K1_R3_I1_G1",59
"32187","19AcGLB198.2.2","19AcS312.2.1",99.6753,"K1_R3_I1_G1",59
"32222","19AcGLB198.2.2","19AcGLB102.2.2",99.5934,"K1_R3_I1_G1",59
"32246","19AcGLB198.2.2","05LoS16R1_16",99.5524,"K1_R3_I1_G1",59
"32257","19AcGLB198.2.2","19AcARN268.1.1",99.5275,"K1_R3_I1_G1",59
"47788","19AcS312.2.1","19AcGLB102.2.2",99.745,"K1_R3_I1_G1",59
"47804","19AcS312.2.1","05LoS16R1_16",99.7106,"K1_R3_I1_G1",59
"47823","19AcS312.2.1","19AcGLB198.2.2",99.6815,"K1_R3_I1_G1",59
"47862","19AcS312.2.1","19AcARN268.1.1",99.5531,"K1_R3_I1_G1",59
"938","05LoS16R1_16","05LoS3_1",99.7907,"K1_R1_I3_G1",59
"939","05LoS16R1_16","19AcARN300.2.1",99.7902,"K1_R1_I3_G1",59
"10131","05LoS16R1_16","19AcARN268.1.1",99.5857,"K1_R1_I3_G1",59
"1060","05LoS16R1_16","19AcHe316.1.1",99.3567,"K1_R1_I3_G1",59
"3731","05LoS3_1","19AcARN300.2.1",99.8776,"K1_R1_I3_G1",59
"3739","05LoS3_1","05LoS16R1_16",99.79,"K1_R1_I3_G1",59
"3816","05LoS3_1","19AcARN268.1.1",99.575,"K1_R1_I3_G1",59
"3856","05LoS3_1","19AcHe316.1.1",99.4188,"K1_R1_I3_G1",59
"17068","19AcARN268.1.1","19AcARN300.2.1",99.6127,"K1_R1_I3_G1",59
"170821","19AcARN268.1.1","05LoS16R1_16",99.5856,"K1_R1_I3_G1",59
"17090","19AcARN268.1.1","05LoS3_1",99.578,"K1_R1_I3_G1",59
"171321","19AcARN268.1.1","19AcHe316.1.1",99.415,"K1_R1_I3_G1",59
"18411","19AcARN300.2.1","05LoS3_1",99.8813,"K1_R1_I3_G1",59
"184261","19AcARN300.2.1","05LoS16R1_16",99.7958,"K1_R1_I3_G1",59
"18496","19AcARN300.2.1","19AcARN268.1.1",99.6105,"K1_R1_I3_G1",59
"18533","19AcARN300.2.1","19AcHe316.1.1",99.5098,"K1_R1_I3_G1",59
"345131","19AcHe316.1.1","19AcARN300.2.1",99.5102,"K1_R1_I3_G1",59
"34563","19AcHe316.1.1","05LoS3_1",99.4279,"K1_R1_I3_G1",59
"34568","19AcHe316.1.1","19AcARN268.1.1",99.4198,"K1_R1_I3_G1",59
"34576","19AcHe316.1.1","05LoS16R1_16",99.3654,"K1_R1_I3_G1",59
"3785","05LoS23_11","19AcAm40.3.1",99.3431,"K1_R1_I1_G1",60
"3800","05LoS23_11","19AcARN282.3.1",99.2936,"K1_R1_I1_G1",60
"38311","05LoS23_11","19AcS142.3.1",99.185,"K1_R1_I1_G1",60
"3875","05LoS23_11","19AcS398Asp.2.1",99.0521,"K1_R1_I1_G1",60
"18368","19AcARN282.3.1","19AcS398Asp.2.1",99.4864,"K1_R1_I1_G1",60
"18370","19AcARN282.3.1","19AcAm40.3.1",99.4792,"K1_R1_I1_G1",60
"183822","19AcARN282.3.1","19AcS142.3.1",99.4452,"K1_R1_I1_G1",60
"18418","19AcARN282.3.1","05LoS23_11",99.2865,"K1_R1_I1_G1",60
"25634","19AcAm40.3.1","19AcS398Asp.2.1",99.5622,"K1_R1_I1_G1",60
"25644","19AcAm40.3.1","19AcS142.3.1",99.521,"K1_R1_I1_G1",60
"25649","19AcAm40.3.1","19AcARN282.3.1",99.478,"K1_R1_I1_G1",60
"25685","19AcAm40.3.1","05LoS23_11",99.3469,"K1_R1_I1_G1",60
"45609","19AcS142.3.1","19AcAm40.3.1",99.5129,"K1_R1_I1_G1",60
"45613","19AcS142.3.1","19AcS398Asp.2.1",99.5009,"K1_R1_I1_G1",60
"45622","19AcS142.3.1","19AcARN282.3.1",99.4415,"K1_R1_I1_G1",60
"45700","19AcS142.3.1","05LoS23_11",99.1892,"K1_R1_I1_G1",60
"51495","19AcS398Asp.2.1","19AcAm40.3.1",99.5551,"K1_R1_I1_G1",60
"51502","19AcS398Asp.2.1","19AcS142.3.1",99.5002,"K1_R1_I1_G1",60
"51505","19AcS398Asp.2.1","19AcARN282.3.1",99.4752,"K1_R1_I1_G1",60
"51592","19AcS398Asp.2.1","05LoS23_11",99.0511,"K1_R1_I1_G1",60
"1427","05LoS16R1_16","19AcGLB102.2.2",99.4298,"K1_R3_I1_G1",60
"14802","05LoS16R1_16","19AcARN268.1.1",99.215,"K1_R3_I1_G1",60
"1515","05LoS16R1_16","19AcS312.2.1",99.1137,"K1_R3_I1_G1",60
"1528","05LoS16R1_16","19AcGLB198.2.2",99.0775,"K1_R3_I1_G1",60
"17420","19AcARN268.1.1","19AcGLB102.2.2",99.5652,"K1_R3_I1_G1",60
"17445","19AcARN268.1.1","19AcGLB198.2.2",99.4307,"K1_R3_I1_G1",60
"17505","19AcARN268.1.1","05LoS16R1_16",99.218,"K1_R3_I1_G1",60
"17509","19AcARN268.1.1","19AcS312.2.1",99.177,"K1_R3_I1_G1",60
"30580","19AcGLB102.2.2","19AcARN268.1.1",99.5587,"K1_R3_I1_G1",60
"30607","19AcGLB102.2.2","05LoS16R1_16",99.4292,"K1_R3_I1_G1",60
"30643","19AcGLB102.2.2","19AcS312.2.1",99.2825,"K1_R3_I1_G1",60
"30657","19AcGLB102.2.2","19AcGLB198.2.2",99.2164,"K1_R3_I1_G1",60
"32450","19AcGLB198.2.2","19AcARN268.1.1",99.4349,"K1_R3_I1_G1",60
"32507","19AcGLB198.2.2","19AcGLB102.2.2",99.234,"K1_R3_I1_G1",60
"32534","19AcGLB198.2.2","19AcS312.2.1",99.1784,"K1_R3_I1_G1",60
"32549","19AcGLB198.2.2","05LoS16R1_16",99.0757,"K1_R3_I1_G1",60
"49881","19AcS312.2.1","19AcGLB102.2.2",99.2784,"K1_R3_I1_G1",60
"49906","19AcS312.2.1","19AcGLB198.2.2",99.1623,"K1_R3_I1_G1",60
"49908","19AcS312.2.1","19AcARN268.1.1",99.1611,"K1_R3_I1_G1",60
"49920","19AcS312.2.1","05LoS16R1_16",99.1128,"K1_R3_I1_G1",60
"1417","05LoS16R1_16","19AcARN300.2.1",99.5574,"K1_R1_I3_G1",60
"14801","05LoS16R1_16","19AcARN268.1.1",99.215,"K1_R1_I3_G1",60
"14932","05LoS16R1_16","19AcHe316.1.1",99.1772,"K1_R1_I3_G1",60
"15292","05LoS16R1_16","19AcAm43.3.1",99.0764,"K1_R1_I3_G1",60
"17415","19AcARN268.1.1","19AcAm43.3.1",99.5819,"K1_R1_I3_G1",60
"17497","19AcARN268.1.1","19AcHe316.1.1",99.2583,"K1_R1_I3_G1",60
"175051","19AcARN268.1.1","05LoS16R1_16",99.218,"K1_R1_I3_G1",60
"175071","19AcARN268.1.1","19AcARN300.2.1",99.2107,"K1_R1_I3_G1",60
"188071","19AcARN300.2.1","05LoS16R1_16",99.5574,"K1_R1_I3_G1",60
"18850","19AcARN300.2.1","19AcHe316.1.1",99.3206,"K1_R1_I3_G1",60
"18882","19AcARN300.2.1","19AcARN268.1.1",99.2053,"K1_R1_I3_G1",60
"18921","19AcARN300.2.1","19AcAm43.3.1",99.0741,"K1_R1_I3_G1",60
"26808","19AcAm43.3.1","19AcARN268.1.1",99.5896,"K1_R1_I3_G1",60
"26881","19AcAm43.3.1","19AcHe316.1.1",99.255,"K1_R1_I3_G1",60
"26905","19AcAm43.3.1","05LoS16R1_16",99.0784,"K1_R1_I3_G1",60
"26907","19AcAm43.3.1","19AcARN300.2.1",99.0688,"K1_R1_I3_G1",60
"348481","19AcHe316.1.1","19AcARN300.2.1",99.3236,"K1_R1_I3_G1",60
"34870","19AcHe316.1.1","19AcARN268.1.1",99.2666,"K1_R1_I3_G1",60
"34872","19AcHe316.1.1","19AcAm43.3.1",99.2618,"K1_R1_I3_G1",60
"34894","19AcHe316.1.1","05LoS16R1_16",99.1862,"K1_R1_I3_G1",60
"3758","05LoS23_11","19AcGLB102.2.2",99.5467,"K1_R1_I1_G1",61
"37911","05LoS23_11","19AcAm40.3.1",99.3871,"K1_R1_I1_G1",61
"3844","05LoS23_11","19AcAm41.3.1",98.9364,"K1_R1_I1_G1",61
"3868","05LoS23_11","19AcPa177.2.2",98.6919,"K1_R1_I1_G1",61
"24606","19AcAm40.3.1","19AcAm41.3.1",99.5365,"K1_R1_I1_G1",61
"24612","19AcAm40.3.1","19AcGLB102.2.2",99.5098,"K1_R1_I1_G1",61
"24622","19AcAm40.3.1","05LoS23_11",99.3821,"K1_R1_I1_G1",61
"24685","19AcAm40.3.1","19AcPa177.2.2",99.0215,"K1_R1_I1_G1",61
"25284","19AcAm41.3.1","19AcAm40.3.1",99.5374,"K1_R1_I1_G1",61
"25361","19AcAm41.3.1","19AcPa177.2.2",99.2016,"K1_R1_I1_G1",61
"25379","19AcAm41.3.1","19AcGLB102.2.2",99.1204,"K1_R1_I1_G1",61
"25394","19AcAm41.3.1","05LoS23_11",98.9246,"K1_R1_I1_G1",61
"29973","19AcGLB102.2.2","05LoS23_11",99.5579,"K1_R1_I1_G1",61
"299761","19AcGLB102.2.2","19AcAm40.3.1",99.514,"K1_R1_I1_G1",61
"30041","19AcGLB102.2.2","19AcAm41.3.1",99.1153,"K1_R1_I1_G1",61
"30077","19AcGLB102.2.2","19AcPa177.2.2",98.7605,"K1_R1_I1_G1",61
"40993","19AcPa177.2.2","19AcAm41.3.1",99.2034,"K1_R1_I1_G1",61
"41040","19AcPa177.2.2","19AcAm40.3.1",99.0308,"K1_R1_I1_G1",61
"41069","19AcPa177.2.2","19AcGLB102.2.2",98.7769,"K1_R1_I1_G1",61
"41071","19AcPa177.2.2","05LoS23_11",98.6905,"K1_R1_I1_G1",61
"16621","05LoS16R1_16","19AcS312.2.1",99.6243,"K1_R3_I1_G1",61
"1681","05LoS16R1_16","19AcGLB102.2.2",99.441,"K1_R3_I1_G1",61
"1695","05LoS16R1_16","19AcGLB198.2.2",99.3444,"K1_R3_I1_G1",61
"17613","05LoS16R1_16","19AcHe316.1.1",98.8776,"K1_R3_I1_G1",61
"29962","19AcGLB102.2.2","19AcS312.2.1",99.6488,"K1_R3_I1_G1",61
"29988","19AcGLB102.2.2","05LoS16R1_16",99.4528,"K1_R3_I1_G1",61
"29992","19AcGLB102.2.2","19AcGLB198.2.2",99.4111,"K1_R3_I1_G1",61
"30059","19AcGLB102.2.2","19AcHe316.1.1",98.9892,"K1_R3_I1_G1",61
"311271","19AcGLB198.2.2","19AcS312.2.1",99.5023,"K1_R3_I1_G1",61
"31142","19AcGLB198.2.2","19AcGLB102.2.2",99.4076,"K1_R3_I1_G1",61
"31156","19AcGLB198.2.2","05LoS16R1_16",99.3499,"K1_R3_I1_G1",61
"31247","19AcGLB198.2.2","19AcHe316.1.1",98.5867,"K1_R3_I1_G1",61
"33539","19AcHe316.1.1","19AcGLB102.2.2",99.0093,"K1_R3_I1_G1",61
"33566","19AcHe316.1.1","05LoS16R1_16",98.8843,"K1_R3_I1_G1",61
"33581","19AcHe316.1.1","19AcS312.2.1",98.7716,"K1_R3_I1_G1",61
"33587","19AcHe316.1.1","19AcGLB198.2.2",98.6039,"K1_R3_I1_G1",61
"48923","19AcS312.2.1","19AcGLB102.2.2",99.636,"K1_R3_I1_G1",61
"48924","19AcS312.2.1","05LoS16R1_16",99.6297,"K1_R3_I1_G1",61
"48941","19AcS312.2.1","19AcGLB198.2.2",99.5033,"K1_R3_I1_G1",61
"49031","19AcS312.2.1","19AcHe316.1.1",98.7368,"K1_R3_I1_G1",61
"1641","05LoS16R1_16","19AcARN300.2.1",99.793,"K1_R1_I3_G1",61
"16503","05LoS16R1_16","19AcARN268.1.1",99.6725,"K1_R1_I3_G1",61
"16701","05LoS16R1_16","19AcAm43.3.1",99.5774,"K1_R1_I3_G1",61
"17472","05LoS16R1_16","19AcPa177.2.2",99.0283,"K1_R1_I3_G1",61
"159212","19AcARN268.1.1","19AcARN300.2.1",99.6905,"K1_R1_I3_G1",61
"15928","19AcARN268.1.1","05LoS16R1_16",99.6796,"K1_R1_I3_G1",61
"15943","19AcARN268.1.1","19AcAm43.3.1",99.5437,"K1_R1_I3_G1",61
"16009","19AcARN268.1.1","19AcPa177.2.2",99.1801,"K1_R1_I3_G1",61
"17322","19AcARN300.2.1","05LoS16R1_16",99.7971,"K1_R1_I3_G1",61
"17329","19AcARN300.2.1","19AcARN268.1.1",99.6886,"K1_R1_I3_G1",61
"173512","19AcARN300.2.1","19AcAm43.3.1",99.5305,"K1_R1_I3_G1",61
"17427","19AcARN300.2.1","19AcPa177.2.2",99.0149,"K1_R1_I3_G1",61
"26232","19AcAm43.3.1","05LoS16R1_16",99.5784,"K1_R1_I3_G1",61
"26244","19AcAm43.3.1","19AcARN268.1.1",99.5409,"K1_R1_I3_G1",61
"26247","19AcAm43.3.1","19AcARN300.2.1",99.5244,"K1_R1_I3_G1",61
"26325","19AcAm43.3.1","19AcPa177.2.2",99.0263,"K1_R1_I3_G1",61
"40994","19AcPa177.2.2","19AcARN268.1.1",99.1944,"K1_R1_I3_G1",61
"41035","19AcPa177.2.2","19AcAm43.3.1",99.0453,"K1_R1_I3_G1",61
"41037","19AcPa177.2.2","05LoS16R1_16",99.036,"K1_R1_I3_G1",61
"41041","19AcPa177.2.2","19AcARN300.2.1",99.0198,"K1_R1_I3_G1",61
"1734","05LoS16R1_16","19AcAm206.2.1",99.7964,"K1_R1_I1_G1",62
"1755","05LoS16R1_16","19AcS136.2.1",99.7604,"K1_R1_I1_G1",62
"18042","05LoS16R1_16","19AcAm211.3.1",99.5819,"K1_R1_I1_G1",62
"1824","05LoS16R1_16","11LoS14_2",99.4803,"K1_R1_I1_G1",62
"7866","11LoS14_2","19AcAm211.3.1",99.7518,"K1_R1_I1_G1",62
"7921","11LoS14_2","19AcAm206.2.1",99.541,"K1_R1_I1_G1",62
"7927","11LoS14_2","19AcS136.2.1",99.5375,"K1_R1_I1_G1",62
"7954","11LoS14_2","05LoS16R1_16",99.4778,"K1_R1_I1_G1",62
"24513","19AcAm206.2.1","19AcS136.2.1",99.8882,"K1_R1_I1_G1",62
"24546","19AcAm206.2.1","05LoS16R1_16",99.7951,"K1_R1_I1_G1",62
"24548","19AcAm206.2.1","19AcAm211.3.1",99.7856,"K1_R1_I1_G1",62
"246081","19AcAm206.2.1","11LoS14_2",99.5427,"K1_R1_I1_G1",62
"25756","19AcAm211.3.1","19AcAm206.2.1",99.7844,"K1_R1_I1_G1",62
"25768","19AcAm211.3.1","11LoS14_2",99.7528,"K1_R1_I1_G1",62
"25782","19AcAm211.3.1","19AcS136.2.1",99.6727,"K1_R1_I1_G1",62
"25826","19AcAm211.3.1","05LoS16R1_16",99.5771,"K1_R1_I1_G1",62
"47543","19AcS136.2.1","19AcAm206.2.1",99.8925,"K1_R1_I1_G1",62
"47579","19AcS136.2.1","05LoS16R1_16",99.7585,"K1_R1_I1_G1",62
"47599","19AcS136.2.1","19AcAm211.3.1",99.6781,"K1_R1_I1_G1",62
"47638","19AcS136.2.1","11LoS14_2",99.5378,"K1_R1_I1_G1",62
"32390","19AcGLB102.2.2","19AcS312.2.1",99.7279,"K1_R3_I1_G1",62
"32435","19AcGLB102.2.2","19AcHe316.1.1",99.5856,"K1_R3_I1_G1",62
"32444","19AcGLB102.2.2","19AcGLB198.2.2",99.5552,"K1_R3_I1_G1",62
"34324","19AcGLB198.2.2","19AcS312.2.1",99.7304,"K1_R3_I1_G1",62
"34349","19AcGLB198.2.2","19AcHe316.1.1",99.6456,"K1_R3_I1_G1",62
"34377","19AcGLB198.2.2","19AcGLB102.2.2",99.5486,"K1_R3_I1_G1",62
"36525","19AcHe316.1.1","19AcS312.2.1",99.7861,"K1_R3_I1_G1",62
"36568","19AcHe316.1.1","19AcGLB198.2.2",99.6512,"K1_R3_I1_G1",62
"36580","19AcHe316.1.1","19AcGLB102.2.2",99.5889,"K1_R3_I1_G1",62
"52971","19AcS312.2.1","19AcHe316.1.1",99.7803,"K1_R3_I1_G1",62
"52973","19AcS312.2.1","19AcGLB198.2.2",99.7316,"K1_R3_I1_G1",62
"52975","19AcS312.2.1","19AcGLB102.2.2",99.7287,"K1_R3_I1_G1",62
"17192","05LoS16R1_16","05LoS3_1",99.8382,"K1_R1_I3_G1",62
"1822","05LoS16R1_16","19AcAm43.3.1",99.5107,"K1_R1_I3_G1",62
"18421","05LoS16R1_16","19AcPa177.2.2",99.3763,"K1_R1_I3_G1",62
"4659","05LoS3_1","05LoS16R1_16",99.8417,"K1_R1_I3_G1",62
"4746","05LoS3_1","19AcAm43.3.1",99.5269,"K1_R1_I3_G1",62
"4784","05LoS3_1","19AcPa177.2.2",99.3042,"K1_R1_I3_G1",62
"28232","19AcAm43.3.1","19AcPa177.2.2",99.658,"K1_R1_I3_G1",62
"28281","19AcAm43.3.1","05LoS3_1",99.5262,"K1_R1_I3_G1",62
"28284","19AcAm43.3.1","05LoS16R1_16",99.5114,"K1_R1_I3_G1",62
"44372","19AcPa177.2.2","19AcAm43.3.1",99.6599,"K1_R1_I3_G1",62
"44461","19AcPa177.2.2","05LoS16R1_16",99.3726,"K1_R1_I3_G1",62
"44471","19AcPa177.2.2","05LoS3_1",99.3008,"K1_R1_I3_G1",62
"5765","11LoS14_2","19AcD266.1.1",99.8956,"K1_R1_I1_G1",63
"5766","11LoS14_2","19AcGLB102.2.2",99.8951,"K1_R1_I1_G1",63
"5788","11LoS14_2","19AcS181.3.1",99.8305,"K1_R1_I1_G1",63
"5846","11LoS14_2","19AcPa177.2.2",99.6545,"K1_R1_I1_G1",63
"25783","19AcD266.1.1","11LoS14_2",99.8957,"K1_R1_I1_G1",63
"25785","19AcD266.1.1","19AcGLB102.2.2",99.8602,"K1_R1_I1_G1",63
"25795","19AcD266.1.1","19AcS181.3.1",99.8115,"K1_R1_I1_G1",63
"25851","19AcD266.1.1","19AcPa177.2.2",99.6478,"K1_R1_I1_G1",63
"28305","19AcGLB102.2.2","11LoS14_2",99.8941,"K1_R1_I1_G1",63
"28313","19AcGLB102.2.2","19AcS181.3.1",99.8686,"K1_R1_I1_G1",63
"28319","19AcGLB102.2.2","19AcD266.1.1",99.8601,"K1_R1_I1_G1",63
"28396","19AcGLB102.2.2","19AcPa177.2.2",99.6231,"K1_R1_I1_G1",63
"40044","19AcPa177.2.2","19AcS181.3.1",99.6834,"K1_R1_I1_G1",63
"40065","19AcPa177.2.2","11LoS14_2",99.6537,"K1_R1_I1_G1",63
"40072","19AcPa177.2.2","19AcD266.1.1",99.6449,"K1_R1_I1_G1",63
"40086","19AcPa177.2.2","19AcGLB102.2.2",99.6211,"K1_R1_I1_G1",63
"44871","19AcS181.3.1","19AcGLB102.2.2",99.869,"K1_R1_I1_G1",63
"44881","19AcS181.3.1","11LoS14_2",99.832,"K1_R1_I1_G1",63
"44903","19AcS181.3.1","19AcD266.1.1",99.812,"K1_R1_I1_G1",63
"44946","19AcS181.3.1","19AcPa177.2.2",99.6853,"K1_R1_I1_G1",63
"1393","05LoS16R1_16","19AcARN268.1.1",99.8016,"K1_R3_I1_G1",63
"1408","05LoS16R1_16","19AcGLB102.2.2",99.7806,"K1_R3_I1_G1",63
"14151","05LoS16R1_16","19AcS312.2.1",99.7698,"K1_R3_I1_G1",63
"1494","05LoS16R1_16","19AcHe316.1.1",99.4938,"K1_R3_I1_G1",63
"15889","19AcARN268.1.1","19AcGLB102.2.2",99.8414,"K1_R3_I1_G1",63
"15905","19AcARN268.1.1","19AcS312.2.1",99.8103,"K1_R3_I1_G1",63
"15912","19AcARN268.1.1","05LoS16R1_16",99.8036,"K1_R3_I1_G1",63
"15981","19AcARN268.1.1","19AcHe316.1.1",99.5304,"K1_R3_I1_G1",63
"28295","19AcGLB102.2.2","19AcS312.2.1",99.9143,"K1_R3_I1_G1",63
"28329","19AcGLB102.2.2","19AcARN268.1.1",99.8401,"K1_R3_I1_G1",63
"28354","19AcGLB102.2.2","05LoS16R1_16",99.7839,"K1_R3_I1_G1",63
"28403","19AcGLB102.2.2","19AcHe316.1.1",99.559,"K1_R3_I1_G1",63
"32462","19AcHe316.1.1","19AcS312.2.1",99.5984,"K1_R3_I1_G1",63
"32494","19AcHe316.1.1","19AcGLB102.2.2",99.5602,"K1_R3_I1_G1",63
"32511","19AcHe316.1.1","19AcARN268.1.1",99.5324,"K1_R3_I1_G1",63
"32524","19AcHe316.1.1","05LoS16R1_16",99.4977,"K1_R3_I1_G1",63
"47391","19AcS312.2.1","19AcGLB102.2.2",99.9147,"K1_R3_I1_G1",63
"47441","19AcS312.2.1","19AcARN268.1.1",99.8084,"K1_R3_I1_G1",63
"47452","19AcS312.2.1","05LoS16R1_16",99.7724,"K1_R3_I1_G1",63
"47492","19AcS312.2.1","19AcHe316.1.1",99.5997,"K1_R3_I1_G1",63
"15902","19AcARN268.1.1","19AcARN300.2.1",99.8149,"K1_R1_I3_G1",63
"15976","19AcARN268.1.1","19AcPa177.2.2",99.6047,"K1_R1_I3_G1",63
"159811","19AcARN268.1.1","19AcHe316.1.1",99.5304,"K1_R1_I3_G1",63
"17028","19AcARN300.2.1","19AcARN268.1.1",99.8166,"K1_R1_I3_G1",63
"171111","19AcARN300.2.1","19AcHe316.1.1",99.6601,"K1_R1_I3_G1",63
"17122","19AcARN300.2.1","19AcPa177.2.2",99.6109,"K1_R1_I3_G1",63
"324351","19AcHe316.1.1","19AcARN300.2.1",99.6597,"K1_R1_I3_G1",63
"325111","19AcHe316.1.1","19AcARN268.1.1",99.5324,"K1_R1_I3_G1",63
"325341","19AcHe316.1.1","19AcPa177.2.2",99.4424,"K1_R1_I3_G1",63
"40090","19AcPa177.2.2","19AcARN268.1.1",99.6081,"K1_R1_I3_G1",63
"40091","19AcPa177.2.2","19AcARN300.2.1",99.6077,"K1_R1_I3_G1",63
"40141","19AcPa177.2.2","19AcHe316.1.1",99.4373,"K1_R1_I3_G1",63
"21360","19AcAm206.2.1","19AcS136.2.1",99.6653,"K1_R1_I1_G1",64
"21366","19AcAm206.2.1","19AcGLB102.2.2",99.6186,"K1_R1_I1_G1",64
"21394","19AcAm206.2.1","19AcAm209.1.1",99.5305,"K1_R1_I1_G1",64
"22043","19AcAm209.1.1","19AcGLB102.2.2",99.7106,"K1_R1_I1_G1",64
"22060","19AcAm209.1.1","19AcS136.2.1",99.5587,"K1_R1_I1_G1",64
"22084","19AcAm209.1.1","19AcAm206.2.1",99.4664,"K1_R1_I1_G1",64
"28771","19AcGLB102.2.2","19AcAm209.1.1",99.7953,"K1_R1_I1_G1",64
"28785","19AcGLB102.2.2","19AcS136.2.1",99.6677,"K1_R1_I1_G1",64
"28796","19AcGLB102.2.2","19AcAm206.2.1",99.6195,"K1_R1_I1_G1",64
"42725","19AcS136.2.1","19AcGLB102.2.2",99.6663,"K1_R1_I1_G1",64
"42728","19AcS136.2.1","19AcAm206.2.1",99.6649,"K1_R1_I1_G1",64
"42744","19AcS136.2.1","19AcAm209.1.1",99.6267,"K1_R1_I1_G1",64
"1451","05LoS16R1_16","19AcARN268.1.1",99.5058,"K1_R3_I1_G1",64
"14803","05LoS16R1_16","19AcHe316.1.1",99.4315,"K1_R3_I1_G1",64
"1500","05LoS16R1_16","19AcS312.2.1",99.3554,"K1_R3_I1_G1",64
"1503","05LoS16R1_16","19AcGLB198.2.2",99.3005,"K1_R3_I1_G1",64
