"","isolate1","isolate2","ani","population","sample"
"41285","19AcPa146.3.1","19AcS5.2.1",96.321,"species",86
"41302","19AcPa146.3.1","19AcS307.2.1",96.2958,"species",86
"41322","19AcPa146.3.1","19AcARN282.3.1",96.2555,"species",86
"41338","19AcPa146.3.1","19AcS398Asp.1.1",96.2389,"species",86
"51350","19AcS307.2.1","19AcS5.2.1",99.7526,"species",86
"51355","19AcS307.2.1","19AcARN282.3.1",99.7337,"species",86
"51385","19AcS307.2.1","19AcS398Asp.1.1",99.6826,"species",86
"51479","19AcS307.2.1","19AcPa146.3.1",96.3276,"species",86
"54009","19AcS398Asp.1.1","19AcARN282.3.1",99.7432,"species",86
"54011","19AcS398Asp.1.1","19AcS5.2.1",99.7375,"species",86
"54046","19AcS398Asp.1.1","19AcS307.2.1",99.6776,"species",86
"54131","19AcS398Asp.1.1","19AcPa146.3.1",96.2693,"species",86
"54748","19AcS5.2.1","19AcARN282.3.1",99.7678,"species",86
"54757","19AcS5.2.1","19AcS307.2.1",99.7566,"species",86
"54764","19AcS5.2.1","19AcS398Asp.1.1",99.7379,"species",86
"54854","19AcS5.2.1","19AcPa146.3.1",96.3443,"species",86
"987","05LoS14_6","19AcS5.6.1",96.113,"metapop",87
"1020","05LoS14_6","19AcS295.2.1",96.0874,"metapop",87
"1120","05LoS14_6","19AcNV336.3.1",92.1578,"metapop",87
"1154","05LoS14_6","11LoS33_5",90.9401,"metapop",87
"10896","11LoS33_5","19AcNV336.3.1",92.0182,"metapop",87
"10917","11LoS33_5","05LoS14_6",91.0711,"metapop",87
"10945","11LoS33_5","19AcS295.2.1",90.9421,"metapop",87
"10974","11LoS33_5","19AcS5.6.1",90.9135,"metapop",87
"37111","19AcNV336.3.1","19AcS5.6.1",92.2738,"metapop",87
"37163","19AcNV336.3.1","19AcS295.2.1",92.2197,"metapop",87
"37260","19AcNV336.3.1","11LoS33_5",92.0516,"metapop",87
"37263","19AcNV336.3.1","05LoS14_6",92.0465,"metapop",87
"47459","19AcS295.2.1","19AcS5.6.1",99.7223,"metapop",87
"47570","19AcS295.2.1","05LoS14_6",96.1016,"metapop",87
"47605","19AcS295.2.1","19AcNV336.3.1",92.2263,"metapop",87
"47643","19AcS295.2.1","11LoS33_5",90.9459,"metapop",87
"51971","19AcS5.6.1","19AcS295.2.1",99.7226,"metapop",87
"52054","19AcS5.6.1","05LoS14_6",96.1226,"metapop",87
"52089","19AcS5.6.1","19AcNV336.3.1",92.2808,"metapop",87
"52135","19AcS5.6.1","11LoS33_5",90.9037,"metapop",87
"20","05LoH15.1","19AcPa174.2.1",98.4876,"species",87
"67","05LoH15.1","19AcS136.2.1",96.0938,"species",87
"74","05LoH15.1","19AcPa151.1.1",96.0902,"species",87
"96","05LoH15.1","11LoS17_12",96.0706,"species",87
"7603","11LoS17_12","19AcS136.2.1",99.7167,"species",87
"7669","11LoS17_12","19AcPa151.1.1",99.562,"species",87
"7689","11LoS17_12","05LoH15.1",96.0648,"species",87
"7707","11LoS17_12","19AcPa174.2.1",95.8695,"species",87
"38766","19AcPa151.1.1","11LoS17_12",99.5567,"species",87
"38802","19AcPa151.1.1","19AcS136.2.1",99.5163,"species",87
"38838","19AcPa151.1.1","05LoH15.1",96.1168,"species",87
"38857","19AcPa151.1.1","19AcPa174.2.1",95.8852,"species",87
"39906","19AcPa174.2.1","05LoH15.1",98.4963,"species",87
"39965","19AcPa174.2.1","19AcS136.2.1",95.8403,"species",87
"39971","19AcPa174.2.1","19AcPa151.1.1",95.8376,"species",87
"39998","19AcPa174.2.1","11LoS17_12",95.8156,"species",87
"44650","19AcS136.2.1","11LoS17_12",99.7176,"species",87
"44726","19AcS136.2.1","19AcPa151.1.1",99.5157,"species",87
"44738","19AcS136.2.1","05LoH15.1",96.0972,"species",87
"44760","19AcS136.2.1","19AcPa174.2.1",95.8998,"species",87
"318","05LoH17.10","19AcS123.1.1",95.9833,"metapop",88
"369","05LoH17.10","19AcARN300.2.1",95.9367,"metapop",88
"431","05LoH17.10","19AcD266.2.1",91.6957,"metapop",88
"451","05LoH17.10","19AcAM288.1.1",91.1717,"metapop",88
"16157","19AcAM288.1.1","19AcD266.2.1",95.756,"metapop",88
"16260","19AcAM288.1.1","19AcS123.1.1",91.4636,"metapop",88
"16346","19AcAM288.1.1","05LoH17.10",91.2393,"metapop",88
"16370","19AcAM288.1.1","19AcARN300.2.1",91.0921,"metapop",88
"19356","19AcARN300.2.1","19AcS123.1.1",99.6815,"metapop",88
"19427","19AcARN300.2.1","05LoH17.10",95.9377,"metapop",88
"19468","19AcARN300.2.1","19AcD266.2.1",91.9029,"metapop",88
"19487","19AcARN300.2.1","19AcAM288.1.1",91.1441,"metapop",88
"28447","19AcD266.2.1","19AcAM288.1.1",95.7091,"metapop",88
"28493","19AcD266.2.1","19AcS123.1.1",91.9717,"metapop",88
"28609","19AcD266.2.1","19AcARN300.2.1",91.7484,"metapop",88
"28624","19AcD266.2.1","05LoH17.10",91.6233,"metapop",88
"46578","19AcS123.1.1","19AcARN300.2.1",99.6809,"metapop",88
"46661","19AcS123.1.1","05LoH17.10",95.9917,"metapop",88
"46702","19AcS123.1.1","19AcD266.2.1",91.9223,"metapop",88
"46719","19AcS123.1.1","19AcAM288.1.1",91.2906,"metapop",88
"224641","19AcAm187A.2.1","CW10",94.4273,"species",88
"22548","19AcAm187A.2.1","19AcS121.1.1",94.2888,"species",88
"22556","19AcAm187A.2.1","19AcAm188.1.1",94.2484,"species",88
"22575","19AcAm187A.2.1","19AcAm42.7.1",94.09,"species",88
"22682","19AcAm188.1.1","19AcAm42.7.1",96.164,"species",88
"226981","19AcAm188.1.1","CW10",96.0289,"species",88
"22799","19AcAm188.1.1","19AcS121.1.1",95.9134,"species",88
"22817","19AcAm188.1.1","19AcAm187A.2.1",94.3506,"species",88
"27484","19AcAm42.7.1","19AcAm188.1.1",96.2662,"species",88
"27510","19AcAm42.7.1","CW10",95.7804,"species",88
"27612","19AcAm42.7.1","19AcS121.1.1",95.5541,"species",88
"276381","19AcAm42.7.1","19AcAm187A.2.1",94.1241,"species",88
"46151","19AcS121.1.1","CW10",99.1441,"species",88
"46174","19AcS121.1.1","19AcAm188.1.1",95.941,"species",88
"46187","19AcS121.1.1","19AcAm42.7.1",95.7891,"species",88
"46194","19AcS121.1.1","19AcAm187A.2.1",94.2868,"species",88
"55540","CW10","19AcS121.1.1",99.143,"species",88
"55580","CW10","19AcAm188.1.1",96.0587,"species",88
"55583","CW10","19AcAm42.7.1",96.0457,"species",88
"55593","CW10","19AcAm187A.2.1",94.4605,"species",88
"10239","11LoS34_2","19AcAm205.2.1",99.5905,"metapop",89
"10317","11LoS34_2","19AcS5.2.1",99.2932,"metapop",89
"10380","11LoS34_2","19AcNV335.3.1",92.3562,"metapop",89
"10425","11LoS34_2","19AcARN305.2.1",90.9943,"metapop",89
"17880","19AcARN305.2.1","19AcNV335.3.1",92.389,"metapop",89
"17956","19AcARN305.2.1","19AcAm205.2.1",91.0263,"metapop",89
"17991","19AcARN305.2.1","11LoS34_2",90.9783,"metapop",89
"18053","19AcARN305.2.1","19AcS5.2.1",90.8479,"metapop",89
"21601","19AcAm205.2.1","11LoS34_2",99.6904,"metapop",89
"216671","19AcAm205.2.1","19AcS5.2.1",99.4628,"metapop",89
"21748","19AcAm205.2.1","19AcNV335.3.1",92.3071,"metapop",89
"21798","19AcAm205.2.1","19AcARN305.2.1",90.8857,"metapop",89
"35544","19AcNV335.3.1","19AcARN305.2.1",92.6712,"metapop",89
"35591","19AcNV335.3.1","11LoS34_2",92.3277,"metapop",89
"35601","19AcNV335.3.1","19AcS5.2.1",92.321,"metapop",89
"35651","19AcNV335.3.1","19AcAm205.2.1",92.2613,"metapop",89
"49922","19AcS5.2.1","19AcAm205.2.1",99.5466,"metapop",89
"49970","19AcS5.2.1","11LoS34_2",99.3953,"metapop",89
"50052","19AcS5.2.1","19AcNV335.3.1",92.3651,"metapop",89
"50104","19AcS5.2.1","19AcARN305.2.1",90.8619,"metapop",89
"7267","11LoS15_1","11LoS18_3",99.3515,"species",89
"7273","11LoS15_1","19AcS5.2.1",99.3429,"species",89
"7280","11LoS15_1","19AcPa151A.1.1",99.3287,"species",89
"7319","11LoS15_1","19AcS136.2.1",99.1566,"species",89
"7663","11LoS18_3","19AcPa151A.1.1",99.6933,"species",89
"76811","11LoS18_3","19AcS5.2.1",99.6005,"species",89
"7754","11LoS18_3","11LoS15_1",99.3504,"species",89
"77561","11LoS18_3","19AcS136.2.1",99.3489,"species",89
"37822","19AcPa151A.1.1","11LoS18_3",99.694,"species",89
"37890","19AcPa151A.1.1","11LoS15_1",99.3327,"species",89
"37902","19AcPa151A.1.1","19AcS5.2.1",99.3108,"species",89
"37945","19AcPa151A.1.1","19AcS136.2.1",99.0271,"species",89
"42777","19AcS136.2.1","11LoS18_3",99.3559,"species",89
"42780","19AcS136.2.1","19AcS5.2.1",99.3518,"species",89
"42810","19AcS136.2.1","11LoS15_1",99.1598,"species",89
"42815","19AcS136.2.1","19AcPa151A.1.1",99.0401,"species",89
"49902","19AcS5.2.1","11LoS18_3",99.6049,"species",89
"499571","19AcS5.2.1","19AcPa151A.1.1",99.4232,"species",89
"499871","19AcS5.2.1","11LoS15_1",99.3449,"species",89
"49989","19AcS5.2.1","19AcS136.2.1",99.3438,"species",89
"25653","19AcD266.1.1","19AcGLB197.3.1",99.8012,"metapop",90
"25662","19AcD266.1.1","19AcS397Asp.3.1",99.6738,"metapop",90
"25664","19AcD266.1.1","19AcS5.6.1",99.6296,"metapop",90
"257531","19AcD266.1.1","19AcPa178.2.1",99.1047,"metapop",90
"30501","19AcGLB197.3.1","19AcD266.1.1",99.7998,"metapop",90
"30515","19AcGLB197.3.1","19AcS397Asp.3.1",99.6872,"metapop",90
"30537","19AcGLB197.3.1","19AcS5.6.1",99.5899,"metapop",90
"30600","19AcGLB197.3.1","19AcPa178.2.1",99.1682,"metapop",90
"40026","19AcPa178.2.1","19AcS397Asp.3.1",99.2091,"metapop",90
"40036","19AcPa178.2.1","19AcGLB197.3.1",99.1814,"metapop",90
"40053","19AcPa178.2.1","19AcD266.1.1",99.1174,"metapop",90
"40078","19AcPa178.2.1","19AcS5.6.1",99.0254,"metapop",90
"48753","19AcS397Asp.3.1","19AcS5.6.1",99.7328,"metapop",90
"48761","19AcS397Asp.3.1","19AcGLB197.3.1",99.6879,"metapop",90
"48769","19AcS397Asp.3.1","19AcD266.1.1",99.6727,"metapop",90
"48843","19AcS397Asp.3.1","19AcPa178.2.1",99.1969,"metapop",90
"50136","19AcS5.6.1","19AcS397Asp.3.1",99.7316,"metapop",90
"50157","19AcS5.6.1","19AcD266.1.1",99.6252,"metapop",90
"50166","19AcS5.6.1","19AcGLB197.3.1",99.5873,"metapop",90
"50244","19AcS5.6.1","19AcPa178.2.1",99.0129,"metapop",90
"18511","19AcAm128.1.1","19AcS313A.2.1",99.6416,"species",90
"18517","19AcAm128.1.1","19AcPa285.2.1",99.6198,"species",90
"18585","19AcAm128.1.1","19AcS295.2.1",99.1482,"species",90
"18636","19AcAm128.1.1","19AcPa174A.1.2",95.504,"species",90
"38640","19AcPa174A.1.2","19AcS313A.2.1",96.1155,"species",90
"38660","19AcPa174A.1.2","19AcAm128.1.1",96.0814,"species",90
"38678","19AcPa174A.1.2","19AcPa285.2.1",96.0607,"species",90
"38730","19AcPa174A.1.2","19AcS295.2.1",95.465,"species",90
"41361","19AcPa285.2.1","19AcS313A.2.1",99.6771,"species",90
"41377","19AcPa285.2.1","19AcAm128.1.1",99.6161,"species",90
"41429","19AcPa285.2.1","19AcS295.2.1",99.2359,"species",90
"41505","19AcPa285.2.1","19AcPa174A.1.2",95.5002,"species",90
"457521","19AcS295.2.1","19AcS313A.2.1",99.2679,"species",90
"45766","19AcS295.2.1","19AcPa285.2.1",99.2442,"species",90
"45795","19AcS295.2.1","19AcAm128.1.1",99.1631,"species",90
"45884","19AcS295.2.1","19AcPa174A.1.2",95.4976,"species",90
"483031","19AcS313A.2.1","19AcPa285.2.1",99.6734,"species",90
"48313","19AcS313A.2.1","19AcAm128.1.1",99.6461,"species",90
"48367","19AcS313A.2.1","19AcS295.2.1",99.2499,"species",90
"48434","19AcS313A.2.1","19AcPa174A.1.2",95.5538,"species",90
"3740","05LoS23_11","19AcS181.1.1",99.7521,"metapop",91
"3773","05LoS23_11","09LoS36_3",99.6011,"metapop",91
"3849","05LoS23_11","19AcPa174.2.1",96.0012,"metapop",91
"3926","05LoS23_11","19AcD298.2.1",90.735,"metapop",91
"5166","09LoS36_3","19AcS181.1.1",99.6221,"metapop",91
"5172","09LoS36_3","05LoS23_11",99.5999,"metapop",91
"5247","09LoS36_3","19AcPa174.2.1",96.0635,"metapop",91
"5323","09LoS36_3","19AcD298.2.1",90.6357,"metapop",91
"298941","19AcD298.2.1","19AcPa174.2.1",90.7714,"metapop",91
"29935","19AcD298.2.1","05LoS23_11",90.529,"metapop",91
"29973","19AcD298.2.1","09LoS36_3",90.4515,"metapop",91
"29978","19AcD298.2.1","19AcS181.1.1",90.4449,"metapop",91
"40833","19AcPa174.2.1","09LoS36_3",96.0343,"metapop",91
"40859","19AcPa174.2.1","19AcS181.1.1",95.9961,"metapop",91
"40879","19AcPa174.2.1","05LoS23_11",95.9584,"metapop",91
"409731","19AcPa174.2.1","19AcD298.2.1",90.7894,"metapop",91
"45914","19AcS181.1.1","05LoS23_11",99.7496,"metapop",91
"45941","19AcS181.1.1","09LoS36_3",99.6224,"metapop",91
"46022","19AcS181.1.1","19AcPa174.2.1",96.0129,"metapop",91
"46094","19AcS181.1.1","19AcD298.2.1",90.6357,"metapop",91
"2857","05LoS22_10","19AcAM290.1.1",99.4556,"species",91
"2871","05LoS22_10","19AcPa147.3.1",99.3368,"species",91
"2876","05LoS22_10","11LoS7_1",99.3076,"species",91
"2888","05LoS22_10","19AcGLB103.2.1",99.0499,"species",91
"12154","11LoS7_1","05LoS22_10",99.3138,"species",91
"12169","11LoS7_1","19AcAM290.1.1",99.2582,"species",91
"12186","11LoS7_1","19AcPa147.3.1",99.2163,"species",91
"12211","11LoS7_1","19AcGLB103.2.1",98.7567,"species",91
"16560","19AcAM290.1.1","19AcPa147.3.1",99.683,"species",91
"16590","19AcAM290.1.1","05LoS22_10",99.461,"species",91
"16628","19AcAM290.1.1","11LoS7_1",99.2657,"species",91
"16644","19AcAM290.1.1","19AcGLB103.2.1",98.8133,"species",91
"31527","19AcGLB103.2.1","05LoS22_10",99.0324,"species",91
"31544","19AcGLB103.2.1","19AcAM290.1.1",98.7977,"species",91
"31549","19AcGLB103.2.1","19AcPa147.3.1",98.7806,"species",91
"31550","19AcGLB103.2.1","11LoS7_1",98.7781,"species",91
"39620","19AcPa147.3.1","19AcAM290.1.1",99.684,"species",91
"39671","19AcPa147.3.1","05LoS22_10",99.329,"species",91
"396931","19AcPa147.3.1","11LoS7_1",99.2253,"species",91
"39709","19AcPa147.3.1","19AcGLB103.2.1",98.7979,"species",91
"6918","09LoS42_2","19AcS313A.2.1",99.4862,"metapop",92
"6939","09LoS42_2","19AcS181.1.1",99.3201,"metapop",92
"6940","09LoS42_2","19AcS295.2.1",99.3198,"metapop",92
"7018","09LoS42_2","19AcGLBFCO1.1.1",98.516,"metapop",92
"35196","19AcGLBFCO1.1.1","19AcS181.1.1",98.8562,"metapop",92
"35198","19AcGLBFCO1.1.1","19AcS295.2.1",98.8491,"metapop",92
"35274","19AcGLBFCO1.1.1","09LoS42_2",98.4321,"metapop",92
"35288","19AcGLBFCO1.1.1","19AcS313A.2.1",98.3821,"metapop",92
"49741","19AcS181.1.1","09LoS42_2",99.3156,"metapop",92
"49744","19AcS181.1.1","19AcS313A.2.1",99.3064,"metapop",92
"49804","19AcS181.1.1","19AcGLBFCO1.1.1",98.904,"metapop",92
"49817","19AcS181.1.1","19AcS295.2.1",98.7465,"metapop",92
"51674","19AcS295.2.1","09LoS42_2",99.311,"metapop",92
"51692","19AcS295.2.1","19AcS313A.2.1",99.1947,"metapop",92
"51751","19AcS295.2.1","19AcGLBFCO1.1.1",98.9003,"metapop",92
"51779","19AcS295.2.1","19AcS181.1.1",98.7428,"metapop",92
"54398","19AcS313A.2.1","09LoS42_2",99.4833,"metapop",92
"54428","19AcS313A.2.1","19AcS181.1.1",99.3081,"metapop",92
"54438","19AcS313A.2.1","19AcS295.2.1",99.2025,"metapop",92
"54496","19AcS313A.2.1","19AcGLBFCO1.1.1",98.4617,"metapop",92
"19948","19AcARN300.2.1","19AcS313B.1.1",99.5591,"species",92
"20004","19AcARN300.2.1","19AcS311.1.1",99.2132,"species",92
"20056","19AcARN300.2.1","19AcAm127.1.1",98.2863,"species",92
"20080","19AcARN300.2.1","19AcAm39.4.1",95.5824,"species",92
"20978","19AcAm127.1.1","19AcARN300.2.1",98.355,"species",92
"21006","19AcAm127.1.1","19AcS311.1.1",98.1339,"species",92
"21011","19AcAm127.1.1","19AcS313B.1.1",98.0713,"species",92
"21074","19AcAm127.1.1","19AcAm39.4.1",94.2674,"species",92
"26580","19AcAm39.4.1","19AcARN300.2.1",95.736,"species",92
"26598","19AcAm39.4.1","19AcS313B.1.1",95.5463,"species",92
"26647","19AcAm39.4.1","19AcS311.1.1",95.1904,"species",92
"26731","19AcAm39.4.1","19AcAm127.1.1",94.276,"species",92
"53429","19AcS311.1.1","19AcARN300.2.1",99.2187,"species",92
"534571","19AcS311.1.1","19AcS313B.1.1",99.0588,"species",92
"53514","19AcS311.1.1","19AcAm127.1.1",98.0766,"species",92
"53543","19AcS311.1.1","19AcAm39.4.1",95.1881,"species",92
"54622","19AcS313B.1.1","19AcARN300.2.1",99.5664,"species",92
"54683","19AcS313B.1.1","19AcS311.1.1",99.057,"species",92
"54742","19AcS313B.1.1","19AcAm127.1.1",98.12,"species",92
"54761","19AcS313B.1.1","19AcAm39.4.1",95.5483,"species",92
"9481","11LoS31_5","19AcAM272.1.1",83.7277,"metapop",93
"9491","11LoS31_5","CW11",83.7029,"metapop",93
"9492","11LoS31_5","19AcS182.1.1",83.6783,"metapop",93
"9593","11LoS31_5","19AcS307.1.1",83.2914,"metapop",93
"14720","19AcAM272.1.1","19AcS182.1.1",90.9623,"metapop",93
"14755","19AcAM272.1.1","CW11",90.9095,"metapop",93
"14839","19AcAM272.1.1","19AcS307.1.1",90.6309,"metapop",93
"14868","19AcAM272.1.1","11LoS31_5",83.3258,"metapop",93
"46314","19AcS182.1.1","CW11",99.4237,"metapop",93
"463401","19AcS182.1.1","19AcS307.1.1",99.3103,"metapop",93
"464701","19AcS182.1.1","19AcAM272.1.1",90.5894,"metapop",93
"46492","19AcS182.1.1","11LoS31_5",84.0033,"metapop",93
"48005","19AcS307.1.1","19AcS182.1.1",99.3139,"metapop",93
"48006","19AcS307.1.1","CW11",99.2905,"metapop",93
"48085","19AcS307.1.1","19AcAM272.1.1",90.981,"metapop",93
"48144","19AcS307.1.1","11LoS31_5",82.4441,"metapop",93
"53625","CW11","19AcS182.1.1",99.428,"metapop",93
"53644","CW11","19AcS307.1.1",99.2952,"metapop",93
"53788","CW11","19AcAM272.1.1",90.5915,"metapop",93
"53808","CW11","11LoS31_5",83.5316,"metapop",93
"8061","11LoS20_1","19AcS183.3.1",99.4741,"species",93
"8073","11LoS20_1","19AcAm43.3.1",99.4574,"species",93
"8138","11LoS20_1","19AcAm184.3.1",99.1901,"species",93
"8150","11LoS20_1","19AcAm127.1.1",99.0308,"species",93
"19126","19AcAm127.1.1","19AcAm184.3.1",99.6165,"species",93
"19177","19AcAm127.1.1","19AcS183.3.1",99.3019,"species",93
"19210","19AcAm127.1.1","19AcAm43.3.1",99.0549,"species",93
"19212","19AcAm127.1.1","11LoS20_1",99.0432,"species",93
"20772","19AcAm184.3.1","19AcAm127.1.1",99.621,"species",93
"20805","19AcAm184.3.1","19AcS183.3.1",99.4839,"species",93
"20865","19AcAm184.3.1","11LoS20_1",99.1887,"species",93
"20880","19AcAm184.3.1","19AcAm43.3.1",99.1671,"species",93
"26502","19AcAm43.3.1","11LoS20_1",99.4614,"species",93
"26513","19AcAm43.3.1","19AcS183.3.1",99.3998,"species",93
"26550","19AcAm43.3.1","19AcAm184.3.1",99.172,"species",93
"26560","19AcAm43.3.1","19AcAm127.1.1",99.0516,"species",93
"46790","19AcS183.3.1","19AcAm184.3.1",99.4911,"species",93
"46800","19AcS183.3.1","11LoS20_1",99.4735,"species",93
"46817","19AcS183.3.1","19AcAm43.3.1",99.3939,"species",93
"46826","19AcS183.3.1","19AcAm127.1.1",99.3078,"species",93
"13860","13LoS100_1","19AcAM288.1.1",96.0664,"metapop",94
"13952","13LoS100_1","19AcAM290.1.1",90.6922,"metapop",94
"13968","13LoS100_1","19AcS312.2.1",90.6391,"metapop",94
"14066","13LoS100_1","19AcS5.6.1",90.1896,"metapop",94
"17261","19AcAM288.1.1","13LoS100_1",96.0591,"metapop",94
"17380","19AcAM288.1.1","19AcAM290.1.1",90.5933,"metapop",94
"17428","19AcAM288.1.1","19AcS312.2.1",90.432,"metapop",94
"17464","19AcAM288.1.1","19AcS5.6.1",90.137,"metapop",94
"17769","19AcAM290.1.1","19AcS5.6.1",99.6471,"metapop",94
"17805","19AcAM290.1.1","19AcS312.2.1",99.4938,"metapop",94
"17914","19AcAM290.1.1","13LoS100_1",90.7335,"metapop",94
"17931","19AcAM290.1.1","19AcAM288.1.1",90.5276,"metapop",94
"53256","19AcS312.2.1","19AcAM290.1.1",99.4912,"metapop",94
"53281","19AcS312.2.1","19AcS5.6.1",99.4158,"metapop",94
"53397","19AcS312.2.1","13LoS100_1",90.7241,"metapop",94
"53411","19AcS312.2.1","19AcAM288.1.1",90.4013,"metapop",94
"55904","19AcS5.6.1","19AcAM290.1.1",99.645,"metapop",94
"559681","19AcS5.6.1","19AcS312.2.1",99.4204,"metapop",94
"56066","19AcS5.6.1","13LoS100_1",90.2493,"metapop",94
"56082","19AcS5.6.1","19AcAM288.1.1",90.0673,"metapop",94
"21631","19AcAm127A.1.1","19AcAm127A.2.1",99.7554,"species",94
"21652","19AcAm127A.1.1","19AcPa146.2.1",99.3472,"species",94
"21663","19AcAm127A.1.1","19AcAm208.2.1",99.2959,"species",94
"21754","19AcAm127A.1.1","19AcS179.1.1",99.0141,"species",94
"218721","19AcAm127A.2.1","19AcAm127A.1.1",99.7545,"species",94
"21970","19AcAm127A.2.1","19AcPa146.2.1",99.1718,"species",94
"21990","19AcAm127A.2.1","19AcAm208.2.1",99.1236,"species",94
"21996","19AcAm127A.2.1","19AcS179.1.1",99.0648,"species",94
"25766","19AcAm208.2.1","19AcPa146.2.1",99.6232,"species",94
"25863","19AcAm208.2.1","19AcAm127A.1.1",99.2881,"species",94
"25883","19AcAm208.2.1","19AcS179.1.1",99.158,"species",94
"25887","19AcAm208.2.1","19AcAm127A.2.1",99.1212,"species",94
"40835","19AcPa146.2.1","19AcAm208.2.1",99.6271,"species",94
"40901","19AcPa146.2.1","19AcAm127A.1.1",99.3447,"species",94
"40946","19AcPa146.2.1","19AcAm127A.2.1",99.1747,"species",94
"409501","19AcPa146.2.1","19AcS179.1.1",99.0942,"species",94
"48694","19AcS179.1.1","19AcAm208.2.1",99.1475,"species",94
"48709","19AcS179.1.1","19AcPa146.2.1",99.0862,"species",94
"48719","19AcS179.1.1","19AcAm127A.2.1",99.0639,"species",94
"48726","19AcS179.1.1","19AcAm127A.1.1",99.0161,"species",94
"19898","19AcAm129.2.1","19AcPa284.3.1",99.4043,"metapop",95
"19899","19AcAm129.2.1","19AcGLB198.2.2",99.3897,"metapop",95
"19944","19AcAm129.2.1","19AcAm185.3.1",99.0919,"metapop",95
"20024","19AcAm129.2.1","38B",94.2642,"metapop",95
"20851","19AcAm185.3.1","19AcGLB198.2.2",99.265,"metapop",95
"20870","19AcAm185.3.1","19AcPa284.3.1",99.1084,"metapop",95
"20872","19AcAm185.3.1","19AcAm129.2.1",99.1006,"metapop",95
"20945","19AcAm185.3.1","38B",93.8521,"metapop",95
"30507","19AcGLB198.2.2","19AcPa284.3.1",99.5587,"metapop",95
"305371","19AcGLB198.2.2","19AcAm129.2.1",99.3794,"metapop",95
"30552","19AcGLB198.2.2","19AcAm185.3.1",99.2591,"metapop",95
"30650","19AcGLB198.2.2","38B",94.2548,"metapop",95
"41378","19AcPa284.3.1","19AcGLB198.2.2",99.5617,"metapop",95
"41391","19AcPa284.3.1","19AcAm129.2.1",99.4097,"metapop",95
"41428","19AcPa284.3.1","19AcAm185.3.1",99.1052,"metapop",95
"41506","19AcPa284.3.1","38B",94.2649,"metapop",95
"503981","38B","19AcAm129.2.1",94.2943,"metapop",95
"50402","38B","19AcPa284.3.1",94.2814,"metapop",95
"50412","38B","19AcGLB198.2.2",94.2557,"metapop",95
"50454","38B","19AcAm185.3.1",93.8937,"metapop",95
"4172","05LoS23_11","19AcS183.3.1",99.5015,"species",95
"4183","05LoS23_11","19AcS5.2.1",99.4385,"species",95
"42501","05LoS23_11","11LoS13_1",99.0083,"species",95
"4263","05LoS23_11","19AcARN268.1.1",98.8624,"species",95
"7194","11LoS13_1","19AcARN268.1.1",99.3312,"species",95
"7226","11LoS13_1","05LoS23_11",99.0285,"species",95
"7233","11LoS13_1","19AcS183.3.1",98.9943,"species",95
"7241","11LoS13_1","19AcS5.2.1",98.9739,"species",95
"16448","19AcARN268.1.1","11LoS13_1",99.3266,"species",95
"16478","19AcARN268.1.1","19AcS183.3.1",99.0672,"species",95
"16481","19AcARN268.1.1","19AcS5.2.1",99.0601,"species",95
"16500","19AcARN268.1.1","05LoS23_11",98.8692,"species",95
"45280","19AcS183.3.1","19AcS5.2.1",99.8773,"species",95
"45309","19AcS183.3.1","05LoS23_11",99.4975,"species",95
"45360","19AcS183.3.1","19AcARN268.1.1",99.0552,"species",95
"45367","19AcS183.3.1","11LoS13_1",98.988,"species",95
"49667","19AcS5.2.1","19AcS183.3.1",99.8822,"species",95
"49705","19AcS5.2.1","05LoS23_11",99.439,"species",95
"49749","19AcS5.2.1","19AcARN268.1.1",99.0594,"species",95
"49754","19AcS5.2.1","11LoS13_1",98.9712,"species",95
"18711","19AcARN300.2.1","19AcS398sp.3.1",99.2694,"metapop",96
"18771","19AcARN300.2.1","19AcAm205.1.1",96.9751,"metapop",96
"18772","19AcARN300.2.1","19AcAm188.3.1",95.903,"metapop",96
"18833","19AcARN300.2.1","19AcGLB10.1.1",91.4045,"metapop",96
"21302","19AcAm188.3.1","19AcS398sp.3.1",96.1713,"metapop",96
"21394","19AcAm188.3.1","19AcARN300.2.1",95.7256,"metapop",96
"21401","19AcAm188.3.1","19AcAm205.1.1",94.0199,"metapop",96
"21438","19AcAm188.3.1","19AcGLB10.1.1",91.3489,"metapop",96
"21743","19AcAm205.1.1","19AcS398sp.3.1",98.5965,"metapop",96
"21832","19AcAm205.1.1","19AcARN300.2.1",98.0998,"metapop",96
"21846","19AcAm205.1.1","19AcAm188.3.1",95.1027,"metapop",96
"21929","19AcAm205.1.1","19AcGLB10.1.1",90.3756,"metapop",96
"29612","19AcGLB10.1.1","19AcS398sp.3.1",91.686,"metapop",96
"29670","19AcGLB10.1.1","19AcAm188.3.1",91.5076,"metapop",96
"29675","19AcGLB10.1.1","19AcARN300.2.1",91.4852,"metapop",96
"29732","19AcGLB10.1.1","19AcAm205.1.1",89.5757,"metapop",96
"51328","19AcS398sp.3.1","19AcARN300.2.1",99.259,"metapop",96
"51339","19AcS398sp.3.1","19AcAm205.1.1",97.4674,"metapop",96
"51340","19AcS398sp.3.1","19AcAm188.3.1",96.3555,"metapop",96
"51403","19AcS398sp.3.1","19AcGLB10.1.1",91.6402,"metapop",96
"4512","09LoS36_1","19AcS142.3.1",99.5396,"species",96
